Index Holdings and weightings as of 5:38 PM ET 07/19/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
WAB,Wabtec,0.63%,112.57,-0.83,-0.73%,0.97 M,79.33 - 113.70
BR,Broadridge Financial Solutions Inc.,0.62%,169.67,+2.34,+1.40%,0.49 M,131.35 - 183.33
EXPD,Expeditors Intl of WA Inc,0.59%,124.51,+1.44,+1.17%,0.73 M,86.08 - 124.67
HWM,Howmet Aerospace Inc.,0.57%,49.74,-0.36,-0.72%,1.79 M,30.60 - 51.34
UAL,"United Airlines Holding, Inc",0.56%,54.80,+0.01,+0.02%,8.73 M,31.58 - 57.45
PAYC,Paycom Software Inc,0.55%,365.47,+1.72,+0.47%,0.38 M,262.12 - 402.78
JBHT,J.B. Hunt Transport Services,0.50%,195.23,+7.06,+3.75%,2.24 M,156.28 - 200.64
IEX,IDEX Corp,0.50%,211.18,+1.33,+0.63%,0.42 M,188.51 - 246.23
SNA,Snap On Inc,0.48%,294.31,-0.78,-0.26%,0.37 M,200.75 - 297.26
J,Jacobs Solutions Inc.,0.48%,122.25,-0.36,-0.29%,0.66 M,106.78 - 138.05
SWK,Stanley Black & Decker,0.47%,99.07,+0.22,+0.22%,0.97 M,70.24 - 118.37
TXT,Textron Inc,0.42%,67.84,-0.09,-0.13%,0.99 M,58.03 - 76.11
MAS,Masco Corp,0.42%,60.57,-0.21,-0.35%,1.44 M,42.33 - 61.27
NDSN,Nordson Corp,0.41%,247.82,+0.40,+0.16%,0.19 M,202.57 - 251.26
AXON,Axon Enterprise Inc,0.41%,189.53,-2.72,-1.41%,0.89 M,97.84 - 229.95
LDOS,Leidos Holdings Inc,0.39%,90.55,+0.20,+0.22%,0.74 M,76.58 - 110.91
AAL,American Airlines Group Inc.,0.38%,18.60,-0.08,-0.43%,20.42 M,11.65 - 19.08
CHRW,CH Robinson Worldwide Inc,0.36%,98.32,+2.42,+2.52%,0.96 M,86.60 - 121.23
CDAY,Ceridian HCM Holding Inc.,0.34%,71.58,-0.32,-0.45%,1.41 M,50.63 - 79.66
ALLE,Allegion plc,0.34%,125.80,+0.20,+0.16%,0.94 M,87.33 - 126.36
PNR,Pentair PLC,0.34%,66.33,+0.70,+1.07%,1.15 M,38.55 - 67.14
ROL,Rollins Inc,0.32%,44.36,-0.12,-0.27%,1.14 M,33.38 - 44.83
AOS,A.O. Smith Corp,0.30%,76.64,+0.13,+0.17%,0.78 M,46.58 - 76.79
HII,Huntington Ingalls Industries Inc.,0.28%,229.48,-0.12,-0.05%,0.31 M,188.51 - 260.02
GNRC,Generac Holdings Inc,0.28%,146.93,+2.90,+2.01%,0.91 M,86.29 - 282.62
RHI,Robert Half Inc,0.28%,84.56,+0.14,+0.17%,0.81 M,64.65 - 89.78
ALK,Alaska Air Group Inc,0.22%,54.43,+1.01,+1.89%,1.48 M,37.20 - 57.18
